Altersgruppen,Stichtag,Geschlecht,Sozialversicherungspflichtige Beschäftigte am Arbeitsort Anzahl
unter 15 Jahre,30.06.2020,männlich,79
15 bis unter 25 Jahre,30.06.2020,männlich,1830379
25 bis unter 35 Jahre,30.06.2020,männlich,4056957
35 bis unter 45 Jahre,30.06.2020,männlich,3950177
45 bis unter 55 Jahre,30.06.2020,männlich,4221828
55 bis unter 65 Jahre,30.06.2020,männlich,3596896
65 Jahre und mehr,30.06.2020,männlich,237801
Insgesamt,30.06.2020,männlich,17894118
unter 15 Jahre,30.06.2020,weiblich,44
15 bis unter 25 Jahre,30.06.2020,weiblich,1420538
25 bis unter 35 Jahre,30.06.2020,weiblich,3356936
