Stichtag,Geschlecht,Berufsabschluss,Sozialversicherungspflichtige Beschäftigte am Arbeitsort Anzahl
30.06.2020,männlich,Ohne Berufsabschluss,2374843
30.06.2020,weiblich,Ohne Berufsabschluss,1715801
30.06.2020,Insgesamt,Ohne Berufsabschluss,4090644
30.06.2020,männlich,Anerkannter Berufsabschluss,10591899
30.06.2020,weiblich,Anerkannter Berufsabschluss,9791654
30.06.2020,Insgesamt,Anerkannter Berufsabschluss,20383553
30.06.2020,männlich,Akademischer Berufsabschluss,3124444
30.06.2020,weiblich,Akademischer Berufsabschluss,2679417
30.06.2020,Insgesamt,Akademischer Berufsabschluss,5803861
30.06.2020,männlich,Ohne Angabe,1802932
30.06.2020,weiblich,Ohne Angabe,1241962
