Stichtag,Geschlecht,WZ2008 (Abschnitte),Sozialversicherungspflichtige Beschäftigte am Arbeitsort Anzahl
30.06.2020,männlich,"Land- und Forstwirtschaft, Fischerei",170884
30.06.2020,weiblich,"Land- und Forstwirtschaft, Fischerei",82664
30.06.2020,Insgesamt,"Land- und Forstwirtschaft, Fischerei",253548
30.06.2020,männlich,Bergbau und Gewinnung von Steinen und Erden,55416
30.06.2020,weiblich,Bergbau und Gewinnung von Steinen und Erden,8702
30.06.2020,Insgesamt,Bergbau und Gewinnung von Steinen und Erden,64118
30.06.2020,männlich,Verarbeitendes Gewerbe,5112374
30.06.2020,weiblich,Verarbeitendes Gewerbe,1737322
30.06.2020,Insgesamt,Verarbeitendes Gewerbe,6849696
30.06.2020,männlich,Energieversorgung,189787
30.06.2020,weiblich,Energieversorgung,68444
