Beschäftigungsumfang,Stichtag,Geschlecht,WZ2008 (Abschnitte),Sozialversicherungspflichtige Beschäftigte am Arbeitsort Anzahl
Vollzeit,30.06.2020,männlich,"Land- und Forstwirtschaft, Fischerei",149112
Vollzeit,30.06.2020,weiblich,"Land- und Forstwirtschaft, Fischerei",50600
Vollzeit,30.06.2020,Insgesamt,"Land- und Forstwirtschaft, Fischerei",199712
Teilzeit,30.06.2020,männlich,"Land- und Forstwirtschaft, Fischerei",21772
Teilzeit,30.06.2020,weiblich,"Land- und Forstwirtschaft, Fischerei",32064
Teilzeit,30.06.2020,Insgesamt,"Land- und Forstwirtschaft, Fischerei",53836
Vollzeit,30.06.2020,männlich,Bergbau und Gewinnung von Steinen und Erden,54158
Vollzeit,30.06.2020,weiblich,Bergbau und Gewinnung von Steinen und Erden,6017
Vollzeit,30.06.2020,Insgesamt,Bergbau und Gewinnung von Steinen und Erden,60175
Teilzeit,30.06.2020,männlich,Bergbau und Gewinnung von Steinen und Erden,1258
Teilzeit,30.06.2020,weiblich,Bergbau und Gewinnung von Steinen und Erden,2685
