Stichtag,Bundesländer,Geschlecht,Sozialversicherungspflichtige Beschäftigte am Arbeitsort Anzahl
30.06.2020,Baden-Württemberg,männlich,2588731
30.06.2020,Baden-Württemberg,weiblich,2137840
30.06.2020,Baden-Württemberg,Insgesamt,4726571
30.06.2020,Bayern,männlich,3079747
30.06.2020,Bayern,weiblich,2602390
30.06.2020,Bayern,Insgesamt,5682137
30.06.2020,Berlin,männlich,778115
30.06.2020,Berlin,weiblich,761170
30.06.2020,Berlin,Insgesamt,1539285
30.06.2020,Brandenburg,männlich,440081
30.06.2020,Brandenburg,weiblich,408300
