Stichtag,Bundesländer,WZ2008 (Abschnitte),Sozialversicherungspflichtige Beschäftigte am Arbeitsort Anzahl
30.06.2020,Baden-Württemberg,"Land- und Forstwirtschaft, Fischerei",21351
30.06.2020,Baden-Württemberg,Produzierendes Gewerbe,1684000
30.06.2020,Baden-Württemberg,"Handel, Verkehr und Lagerei, Gastgewerbe",949464
30.06.2020,Baden-Württemberg,Sonstige Dienstleistungen,2071691
30.06.2020,Baden-Württemberg,Ohne Angabe,65
30.06.2020,Baden-Württemberg,Insgesamt,4726571
30.06.2020,Bayern,"Land- und Forstwirtschaft, Fischerei",33397
30.06.2020,Bayern,Produzierendes Gewerbe,1837132
30.06.2020,Bayern,"Handel, Verkehr und Lagerei, Gastgewerbe",1216489
30.06.2020,Bayern,Sonstige Dienstleistungen,2595091
30.06.2020,Bayern,Ohne Angabe,28
