Arbeitslosenquote der abhängigen zivilen Erwerbspersonen Prozent,Arbeitslosenquote aller zivilen Erwerbspersonen Prozent,Jahr,Kurzarbeitende Betriebe Anzahl,Arbeitslose Anzahl,Kurzarbeiter Anzahl,Deutschland / Früheres Bundesgebiet / Neue Länder,Gemeldete Arbeitsstellen Anzahl
"8,5","7,7",1992,15484,2978570,653016,Insgesamt,356237
"9,8","8,9",1993,19285,3419141,948363,Insgesamt,279452
"10,6","9,6",1994,11929,3698057,372288,Insgesamt,284753
"9,0","8,1",1994,7888,2426276,271964,Früheres Bundesgebiet,226828
"15,7","14,8",1994,4042,1271781,100324,Neue Länder,57925
"10,4","9,4",1995,8189,3611921,198580,Insgesamt,321306
"9,1","8,1",1995,5092,2427083,125192,Früheres Bundesgebiet,260272
"14,8","13,9",1995,3097,1184838,73388,Neue Länder,61034
"11,5","10,4",1996,11310,3965064,277294,Insgesamt,327278
"9,9","8,9",1996,7712,2646442,202611,Früheres Bundesgebiet,265692
"16,6","15,5",1996,3598,1318622,74683,Neue Länder,61586
