Arbeitslosenquote der abhängigen zivilen Erwerbspersonen Prozent,Arbeitslosenquote aller zivilen Erwerbspersonen Prozent,Jahr,Kurzarbeitende Betriebe Anzahl,Monate,Arbeitslose Anzahl,Kurzarbeiter Anzahl,Deutschland / Früheres Bundesgebiet / Neue Länder,Gemeldete Arbeitsstellen Anzahl
"7,0","6,3",2021,469397,Januar,2900663,3637911,Insgesamt,566329
"7,0","6,3",2021,485254,Februar,2904413,3766158,Insgesamt,582930
"6,8","6,2",2021,396225,März,2827449,3015863,Insgesamt,609152
"6,6","6,0",2021,347379,April,2771232,2583330,Insgesamt,628555
"6,4","5,9",2021,324928,Mai,2687191,2341950,Insgesamt,653577
"6,3","5,7",2021,230277,Juni,2613825,1568065,Insgesamt,693316
"6,2","5,6",2021,157168,Juli,2590310,1087877,Insgesamt,744399
"6,2","5,6",2021,129407,August,2578471,857486,Insgesamt,778966
"5,9","5,4",2021,113813,September,2464793,858680,Insgesamt,799251
"5,7","5,2",2021,98550,Oktober,2376925,780353,Insgesamt,808626
"5,5","5,1",2021,101575,November,2317067,767160,Insgesamt,808402
