Jahr,Arbeitslose Anzahl,Deutschland / Früheres Bundesgebiet / Neue Länder,Geschlecht
1991,2602203,Insgesamt,Insgesamt
1991,1280554,Insgesamt,männlich
1991,1321649,Insgesamt,weiblich
1991,95800,Insgesamt,Jugendliche unter 20 Jahre
1991,395739,Insgesamt,Jüngere unter 25 Jahre
1991,221884,Insgesamt,Ausländer
1991,1596457,Früheres Bundesgebiet,Insgesamt
1991,842966,Früheres Bundesgebiet,männlich
1991,753491,Früheres Bundesgebiet,weiblich
1991,51579,Früheres Bundesgebiet,Jugendliche unter 20 Jahre
1991,230959,Früheres Bundesgebiet,Jüngere unter 25 Jahre
