Jahr,Monate,Arbeitslose Anzahl,Deutschland / Früheres Bundesgebiet / Neue Länder,Geschlecht
2021,Januar,2900663,Insgesamt,Insgesamt
2021,Februar,2904413,Insgesamt,Insgesamt
2021,März,2827449,Insgesamt,Insgesamt
2021,April,2771232,Insgesamt,Insgesamt
2021,Mai,2687191,Insgesamt,Insgesamt
2021,Juni,2613825,Insgesamt,Insgesamt
2021,Juli,2590310,Insgesamt,Insgesamt
2021,August,2578471,Insgesamt,Insgesamt
2021,September,2464793,Insgesamt,Insgesamt
2021,Oktober,2376925,Insgesamt,Insgesamt
2021,November,2317067,Insgesamt,Insgesamt
