Gültige Zweitstimmen Anzahl,Parteien,Stichtag,Anteil gültiger Zweitstimmen Prozent,Anteil gültiger Erststimmen Prozent,Gültige Erststimmen Anzahl
11955434,Sozialdemokratische Partei Deutschlands,26.09.2021,"25,7","26,4",12234690
8775471,Christlich Demokratische Union Deutschlands,26.09.2021,"18,9","22,5",10451524
6852206,BÜNDNIS 90/DIE GRÜNEN,26.09.2021,"14,8","14,0",6469081
5319952,Freie Demokratische Partei,26.09.2021,"11,5","8,7",4042951
4803902,Alternative für Deutschland,26.09.2021,"10,3","10,1",4695611
2402827,Christlich-Soziale Union in Bayern e.V.,26.09.2021,"5,2","6,0",2788048
2270906,DIE LINKE,26.09.2021,"4,9","5,0",2307536
55578,Südschleswigscher Wählerverband,26.09.2021,"0,1","0,1",35027
13672,"Allianz für Menschenrechte, Tier- und Naturschutz",26.09.2021,"0,0","0,0",7371
630153,Basisdemokratische Partei Deutschland,26.09.2021,"1,4","1,6",735451
32790,Bayernpartei,26.09.2021,"0,1","0,1",36748
