Ungültige Zweitstimmen Anzahl,Anteil ungültiger Zweitstimmen Prozent,Stichtag,Anteil gültiger Zweitstimmen Prozent,Wahlberechtigte Anzahl,Anteil gültiger Erststimmen Prozent,Gültige Erststimmen Anzahl,Ungültige Erststimmen Anzahl,Anteil ungültiger Erststimmen Prozent,Gültige Zweitstimmen Anzahl,Wähler Anzahl,Bundesländer,Wahlbeteiligung Prozent
47657,"0,8",26.09.2021,"99,2",7711531,"99,1",5942743,54574,"0,9",5949660,5997317,Baden-Württemberg,"77,8"
37667,"0,5",26.09.2021,"99,5",9517664,"99,3",7553116,55864,"0,7",7571313,7608980,Bayern,"79,9"
30322,"1,6",26.09.2021,"98,4",2468919,"98,3",1825272,31631,"1,7",1826581,1856903,Berlin,"75,2"
19821,"1,3",26.09.2021,"98,7",2048844,"98,6",1527758,21706,"1,4",1529643,1549464,Brandenburg,"75,6"
2391,"0,7",26.09.2021,"99,3",459749,"99,0",327057,3374,"1,0",328040,330431,Bremen,"71,9"
5500,"0,5",26.09.2021,"99,5",1298792,"99,2",1003324,7720,"0,8",1005544,1011044,Hamburg,"77,8"
39829,"1,2",26.09.2021,"98,8",4383047,"98,7",3295933,44706,"1,3",3300810,3340639,Hessen,"76,2"
16181,"1,7",26.09.2021,"98,3",1314435,"98,2",918086,16954,"1,8",918859,935040,Mecklenburg-Vorpommern,"71,1"
39921,"0,9",26.09.2021,"99,1",6105381,"99,0",4518572,44570,"1,0",4523221,4563142,Niedersachsen,"74,7"
72954,"0,7",26.09.2021,"99,3",13040267,"99,1",9868519,92465,"0,9",9888030,9960984,Nordrhein-Westfalen,"76,4"
22869,"1,0",26.09.2021,"99,0",3053335,"98,7",2325669,31352,"1,3",2334152,2357021,Rheinland-Pfalz,"77,2"
