Gültige Zweitstimmen Anzahl,Parteien,Stichtag,Anteil gültiger Zweitstimmen Prozent,Bundesländer,Anteil gültiger Erststimmen Prozent,Gültige Erststimmen Anzahl
1287934,Sozialdemokratische Partei Deutschlands,26.09.2021,"21,6",Baden-Württemberg,"21,0",1247455
1477612,Christlich Demokratische Union Deutschlands,26.09.2021,"24,8",Baden-Württemberg,"29,7",1767316
1022226,BÜNDNIS 90/DIE GRÜNEN,26.09.2021,"17,2",Baden-Württemberg,"17,8",1058334
908039,Freie Demokratische Partei,26.09.2021,"15,3",Baden-Württemberg,"12,0",711697
571336,Alternative für Deutschland,26.09.2021,"9,6",Baden-Württemberg,"9,4",561058
196874,DIE LINKE,26.09.2021,"3,3",Baden-Württemberg,"3,0",175691
114919,Basisdemokratische Partei Deutschland,26.09.2021,"1,9",Baden-Württemberg,"2,1",127340
12625,Bündnis C - Christen für Deutschland,26.09.2021,"0,2",Baden-Württemberg,"0,0",452
7491,Bürgerbewegung für Fortschritt und Wandel,26.09.2021,"0,1",Baden-Württemberg,"0,0",1556
5388,Demokratie in Bewegung,26.09.2021,"0,1",Baden-Württemberg,"0,0",2609
53597,Die Partei,26.09.2021,"0,9",Baden-Württemberg,"1,2",73115
