Parteien,Stichtag,Anteil gültiger Zweitstimmen Prozent,Geschlecht,Gültige Zweitstimmen 1000
Christlich Demokratische Union Deutschlands,26.09.2021,"18,2",männlich,"4111,0"
Christlich Demokratische Union Deutschlands,26.09.2021,"19,5",weiblich,"4664,5"
Sozialdemokratische Partei Deutschlands,26.09.2021,"24,5",männlich,"5525,3"
Sozialdemokratische Partei Deutschlands,26.09.2021,"26,9",weiblich,"6430,2"
Alternative für Deutschland,26.09.2021,"13,0",männlich,"2936,4"
Alternative für Deutschland,26.09.2021,"7,8",weiblich,"1867,5"
Freie Demokratische Partei,26.09.2021,"12,8",männlich,"2891,8"
Freie Demokratische Partei,26.09.2021,"10,2",weiblich,"2428,2"
DIE LINKE,26.09.2021,"5,0",männlich,"1134,5"
DIE LINKE,26.09.2021,"4,8",weiblich,"1136,4"
BÜNDNIS 90/DIE GRÜNEN,26.09.2021,"13,5",männlich,"3034,7"
