Parteien,Stichtag,Anteil gültiger Zweitstimmen Prozent,Altersgruppen (18-70m),Gültige Zweitstimmen 1000
Christlich Demokratische Union Deutschlands,26.09.2021,"8,2",18 bis unter 25 Jahre,"287,5"
Christlich Demokratische Union Deutschlands,26.09.2021,"10,3",25 bis unter 35 Jahre,"611,1"
Christlich Demokratische Union Deutschlands,26.09.2021,"14,5",35 bis unter 45 Jahre,"932,0"
Christlich Demokratische Union Deutschlands,26.09.2021,"18,1",45 bis unter 60 Jahre,"2260,6"
Christlich Demokratische Union Deutschlands,26.09.2021,"20,4",60 bis unter 70 Jahre,"1702,8"
Christlich Demokratische Union Deutschlands,26.09.2021,"30,8",70 Jahre und mehr,"2981,5"
Sozialdemokratische Partei Deutschlands,26.09.2021,"15,6",18 bis unter 25 Jahre,"545,6"
Sozialdemokratische Partei Deutschlands,26.09.2021,"17,4",25 bis unter 35 Jahre,"1037,8"
Sozialdemokratische Partei Deutschlands,26.09.2021,"19,2",35 bis unter 45 Jahre,"1236,3"
Sozialdemokratische Partei Deutschlands,26.09.2021,"25,4",45 bis unter 60 Jahre,"3182,4"
Sozialdemokratische Partei Deutschlands,26.09.2021,"31,7",60 bis unter 70 Jahre,"2646,6"
