Parteien,Stichtag,Anteil gültiger Zweitstimmen Prozent,Altersgruppen (18-70m),Geschlecht,Gültige Zweitstimmen 1000
Christlich Demokratische Union Deutschlands,26.09.2021,"8,2",18 bis unter 25 Jahre,männlich,"144,7"
Christlich Demokratische Union Deutschlands,26.09.2021,"10,1",25 bis unter 35 Jahre,männlich,"301,1"
Christlich Demokratische Union Deutschlands,26.09.2021,"14,0",35 bis unter 45 Jahre,männlich,"446,8"
Christlich Demokratische Union Deutschlands,26.09.2021,"18,3",45 bis unter 60 Jahre,männlich,"1138,4"
Christlich Demokratische Union Deutschlands,26.09.2021,"19,7",60 bis unter 70 Jahre,männlich,"807,1"
Christlich Demokratische Union Deutschlands,26.09.2021,"29,5",70 Jahre und mehr,männlich,"1272,8"
Christlich Demokratische Union Deutschlands,26.09.2021,"8,2",18 bis unter 25 Jahre,weiblich,"142,7"
Christlich Demokratische Union Deutschlands,26.09.2021,"10,4",25 bis unter 35 Jahre,weiblich,"310,0"
Christlich Demokratische Union Deutschlands,26.09.2021,"15,0",35 bis unter 45 Jahre,weiblich,"485,2"
Christlich Demokratische Union Deutschlands,26.09.2021,"17,8",45 bis unter 60 Jahre,weiblich,"1122,2"
Christlich Demokratische Union Deutschlands,26.09.2021,"21,1",60 bis unter 70 Jahre,weiblich,"895,7"
