Parteien,Stichtag,Anteil gültiger Zweitstimmen Prozent,Bundesländer,Geschlecht,Gültige Zweitstimmen 1000
Christlich Demokratische Union Deutschlands,26.09.2021,"24,0",Baden-Württemberg,männlich,"703,0"
Christlich Demokratische Union Deutschlands,26.09.2021,"25,6",Baden-Württemberg,weiblich,"774,6"
Sozialdemokratische Partei Deutschlands,26.09.2021,"20,6",Baden-Württemberg,männlich,"603,5"
Sozialdemokratische Partei Deutschlands,26.09.2021,"22,6",Baden-Württemberg,weiblich,"684,4"
Alternative für Deutschland,26.09.2021,"12,1",Baden-Württemberg,männlich,"352,5"
Alternative für Deutschland,26.09.2021,"7,2",Baden-Württemberg,weiblich,"218,9"
Freie Demokratische Partei,26.09.2021,"17,0",Baden-Württemberg,männlich,"497,6"
Freie Demokratische Partei,26.09.2021,"13,6",Baden-Württemberg,weiblich,"410,4"
DIE LINKE,26.09.2021,"3,5",Baden-Württemberg,männlich,"101,1"
DIE LINKE,26.09.2021,"3,2",Baden-Württemberg,weiblich,"95,8"
BÜNDNIS 90/DIE GRÜNEN,26.09.2021,"15,5",Baden-Württemberg,männlich,"453,2"
