Parteien,Stichtag,Anteil gültiger Zweitstimmen Prozent,Bundesländer,Altersgruppen (18-70m),Gültige Zweitstimmen 1000
Christlich Demokratische Union Deutschlands,26.09.2021,"11,3",Baden-Württemberg,18 bis unter 25 Jahre,"54,5"
Christlich Demokratische Union Deutschlands,26.09.2021,"14,3",Baden-Württemberg,25 bis unter 35 Jahre,"118,2"
Christlich Demokratische Union Deutschlands,26.09.2021,"19,2",Baden-Württemberg,35 bis unter 45 Jahre,"157,6"
Christlich Demokratische Union Deutschlands,26.09.2021,"23,8",Baden-Württemberg,45 bis unter 60 Jahre,"383,8"
Christlich Demokratische Union Deutschlands,26.09.2021,"27,1",Baden-Württemberg,60 bis unter 70 Jahre,"280,8"
Christlich Demokratische Union Deutschlands,26.09.2021,"41,3",Baden-Württemberg,70 Jahre und mehr,"482,7"
Sozialdemokratische Partei Deutschlands,26.09.2021,"13,4",Baden-Württemberg,18 bis unter 25 Jahre,"64,7"
Sozialdemokratische Partei Deutschlands,26.09.2021,"15,7",Baden-Württemberg,25 bis unter 35 Jahre,"129,9"
Sozialdemokratische Partei Deutschlands,26.09.2021,"16,6",Baden-Württemberg,35 bis unter 45 Jahre,"136,0"
Sozialdemokratische Partei Deutschlands,26.09.2021,"21,4",Baden-Württemberg,45 bis unter 60 Jahre,"345,1"
Sozialdemokratische Partei Deutschlands,26.09.2021,"27,0",Baden-Württemberg,60 bis unter 70 Jahre,"279,9"
