Parteien,Stichtag,Anteil gültiger Zweitstimmen Prozent,Bundesländer,Altersgruppen (18-70m),Geschlecht,Gültige Zweitstimmen 1000
Christlich Demokratische Union Deutschlands,26.09.2021,"11,1",Baden-Württemberg,18 bis unter 25 Jahre,männlich,"27,6"
Christlich Demokratische Union Deutschlands,26.09.2021,"13,8",Baden-Württemberg,25 bis unter 35 Jahre,männlich,"57,9"
Christlich Demokratische Union Deutschlands,26.09.2021,"18,5",Baden-Württemberg,35 bis unter 45 Jahre,männlich,"76,4"
Christlich Demokratische Union Deutschlands,26.09.2021,"24,3",Baden-Württemberg,45 bis unter 60 Jahre,männlich,"195,2"
Christlich Demokratische Union Deutschlands,26.09.2021,"26,4",Baden-Württemberg,60 bis unter 70 Jahre,männlich,"135,1"
Christlich Demokratische Union Deutschlands,26.09.2021,"39,8",Baden-Württemberg,70 Jahre und mehr,männlich,"210,8"
Christlich Demokratische Union Deutschlands,26.09.2021,"11,4",Baden-Württemberg,18 bis unter 25 Jahre,weiblich,"26,9"
Christlich Demokratische Union Deutschlands,26.09.2021,"14,7",Baden-Württemberg,25 bis unter 35 Jahre,weiblich,"60,3"
Christlich Demokratische Union Deutschlands,26.09.2021,"19,9",Baden-Württemberg,35 bis unter 45 Jahre,weiblich,"81,1"
Christlich Demokratische Union Deutschlands,26.09.2021,"23,4",Baden-Württemberg,45 bis unter 60 Jahre,weiblich,"188,7"
Christlich Demokratische Union Deutschlands,26.09.2021,"27,7",Baden-Württemberg,60 bis unter 70 Jahre,weiblich,"145,7"
