Schulanfänger Anzahl,BILABS  Absolventen und Abgänger  Anzahl,Schuljahr,Schüler Anzahl,Geschlecht
429889,476066,1999/00,5110026,männlich
406248,457550,1999/00,4938369,weiblich
836137,933616,1999/00,10048395,Insgesamt
419055,473494,2000/01,5062891,männlich
392900,453358,2000/01,4897556,weiblich
811955,926852,2000/01,9960447,Insgesamt
401771,476530,2001/02,5016905,männlich
378984,459877,2001/02,4853540,weiblich
780755,936407,2001/02,9870445,Insgesamt
413783,483269,2002/03,4969732,männlich
391751,464618,2002/03,4810545,weiblich
