Schulart,Jahrgangsstufen,Schuljahr,Schüler Anzahl,Geschlecht
Vorklassen,Keine Angabe,2020/21,5088,männlich
Vorklassen,Insgesamt,2020/21,5088,männlich
Schulkindergärten,Keine Angabe,2020/21,10383,männlich
Schulkindergärten,Insgesamt,2020/21,10383,männlich
Grundschulen,Klassenstufe 1,2020/21,359016,männlich
Grundschulen,Klassenstufe 2,2020/21,371538,männlich
Grundschulen,Klassenstufe 3,2020/21,361341,männlich
Grundschulen,Klassenstufe 4,2020/21,352959,männlich
Grundschulen,Keine Angabe,2020/21,408,männlich
Grundschulen,Insgesamt,2020/21,1445259,männlich
Schulartunabhängige Orientierungsstufen,Klassenstufe 5,2020/21,28083,männlich
