Schulanfänger Anzahl,Schulart,Schuljahr,Einschulungsart,Geschlecht
7587,Grundschulen,2020/21,Vorzeitige Einschulungen,männlich
321753,Grundschulen,2020/21,Fristgemäße Einschulungen,männlich
25536,Grundschulen,2020/21,Verspätete Einschulungen,männlich
126,Grundschulen,2020/21,Sonstige Einschulungen,männlich
355002,Grundschulen,2020/21,Insgesamt,männlich
276,Integrierte Gesamtschulen,2020/21,Vorzeitige Einschulungen,männlich
7848,Integrierte Gesamtschulen,2020/21,Fristgemäße Einschulungen,männlich
1080,Integrierte Gesamtschulen,2020/21,Verspätete Einschulungen,männlich
12,Integrierte Gesamtschulen,2020/21,Sonstige Einschulungen,männlich
9216,Integrierte Gesamtschulen,2020/21,Insgesamt,männlich
57,Freie Waldorfschulen,2020/21,Vorzeitige Einschulungen,männlich
