Schulart,BILABS  Absolventen und Abgänger  Anzahl,Schuljahr,Geschlecht,Schulabschlüsse
Hauptschulen,3702,2019/20,männlich,Ohne Hauptschulabschluss
Hauptschulen,24462,2019/20,männlich,Hauptschulabschluss
Hauptschulen,13434,2019/20,männlich,Mittlerer Schulabschluss
Hauptschulen,41598,2019/20,männlich,Insgesamt
Schularten mit mehreren Bildungsgängen,3414,2019/20,männlich,Ohne Hauptschulabschluss
Schularten mit mehreren Bildungsgängen,13395,2019/20,männlich,Hauptschulabschluss
Schularten mit mehreren Bildungsgängen,33780,2019/20,männlich,Mittlerer Schulabschluss
Schularten mit mehreren Bildungsgängen,50589,2019/20,männlich,Insgesamt
Realschulen,846,2019/20,männlich,Ohne Hauptschulabschluss
Realschulen,4449,2019/20,männlich,Hauptschulabschluss
Realschulen,64926,2019/20,männlich,Mittlerer Schulabschluss
