Schulart,Jahrgangsstufen,Schuljahr,Geschlecht,Wiederholer Anzahl
Grundschulen,Klassenstufe 3,2020/21,männlich,4170
Grundschulen,Klassenstufe 4,2020/21,männlich,2445
Grundschulen,Keine Angabe,2020/21,männlich,51
Grundschulen,Insgesamt,2020/21,männlich,6666
Schulartunabhängige Orientierungsstufen,Klassenstufe 5,2020/21,männlich,180
Schulartunabhängige Orientierungsstufen,Klassenstufe 6,2020/21,männlich,231
Schulartunabhängige Orientierungsstufen,Insgesamt,2020/21,männlich,411
Hauptschulen,Klassenstufe 5,2020/21,männlich,834
Hauptschulen,Klassenstufe 6,2020/21,männlich,585
Hauptschulen,Klassenstufe 7,2020/21,männlich,735
Hauptschulen,Klassenstufe 8,2020/21,männlich,1017
