Schulart,Schüler mit Fremdsprachen-Unterricht Anzahl,Jahrgangsstufen,Fremdsprachen,Schuljahr
Grundschulen,72090,Klassenstufe 1,Englisch,2021/22
Grundschulen,229380,Klassenstufe 2,Englisch,2021/22
Grundschulen,661511,Klassenstufe 3,Englisch,2021/22
Grundschulen,654684,Klassenstufe 4,Englisch,2021/22
Grundschulen,23823,Keine Angabe,Englisch,2021/22
Grundschulen,1641496,Insgesamt,Englisch,2021/22
Schulartunabhängige Orientierungsstufen,53597,Klassenstufe 5,Englisch,2021/22
Schulartunabhängige Orientierungsstufen,56851,Klassenstufe 6,Englisch,2021/22
Schulartunabhängige Orientierungsstufen,1927,Keine Angabe,Englisch,2021/22
Schulartunabhängige Orientierungsstufen,112375,Insgesamt,Englisch,2021/22
Hauptschulen,46684,Klassenstufe 5,Englisch,2021/22
