Schulart,Schüler mit sonderpädagogischer Förderung Anzahl,Schuljahr,Förderschwerpunkte
Grundschulen,19471,2000/01,Lernen
Grundschulen,814,2000/01,Sehen
Grundschulen,1510,2000/01,Hören
Grundschulen,6915,2000/01,Sprache
Grundschulen,2195,2000/01,Körperliche und motorische Entwicklung
Grundschulen,1111,2000/01,Geistige Entwicklung
Grundschulen,5149,2000/01,Emotionale und soziale Entwicklung
Grundschulen,1015,2000/01,Förderschwerpunktübergreifend
Grundschulen,353,2000/01,Keinem Schwerpunkt zugeordnet
Grundschulen,38533,2000/01,Insgesamt
Schulartunabhängige Orientierungsstufen,1212,2000/01,Lernen
