Schulart,Schüler mit sonderpädagogischer Förderung Anzahl,Schuljahr,Förderschwerpunkte,Geschlecht
Grundschulen,22344,2020/21,Lernen,männlich
Grundschulen,876,2020/21,Sehen,männlich
Grundschulen,1800,2020/21,Hören,männlich
Grundschulen,10467,2020/21,Sprache,männlich
Grundschulen,3516,2020/21,Körperliche und motorische Entwicklung,männlich
Grundschulen,4278,2020/21,Geistige Entwicklung,männlich
Grundschulen,15933,2020/21,Emotionale und soziale Entwicklung,männlich
Grundschulen,3,2020/21,Förderschwerpunktübergreifend,männlich
Grundschulen,642,2020/21,Keinem Schwerpunkt zugeordnet,männlich
Grundschulen,59859,2020/21,Insgesamt,männlich
Schulartunabhängige Orientierungsstufen,1989,2020/21,Lernen,männlich
