Schulanfänger Anzahl,BILABS  Absolventen und Abgänger  Anzahl,Schuljahr,Bundesländer,Schüler Anzahl,Geschlecht
62803,59056,1999/00,Baden-Württemberg,658612,männlich
59634,55995,1999/00,Baden-Württemberg,633604,weiblich
122437,115051,1999/00,Baden-Württemberg,1292216,Insgesamt
69837,67111,1999/00,Bayern,726064,männlich
66678,64181,1999/00,Bayern,705247,weiblich
136515,131292,1999/00,Bayern,1431311,Insgesamt
14214,19304,1999/00,Berlin,204295,männlich
13490,18195,1999/00,Berlin,199381,weiblich
27704,37499,1999/00,Berlin,403676,Insgesamt
7952,18928,1999/00,Brandenburg,179077,männlich
7317,18856,1999/00,Brandenburg,177090,weiblich
