Schulart,Jahrgangsstufen,Schuljahr,Bundesländer,Schüler Anzahl,Geschlecht
Schulkindergärten,Keine Angabe,2020/21,Baden-Württemberg,5197,männlich
Schulkindergärten,Insgesamt,2020/21,Baden-Württemberg,5197,männlich
Grundschulen,Klassenstufe 1,2020/21,Baden-Württemberg,42176,männlich
Grundschulen,Klassenstufe 2,2020/21,Baden-Württemberg,42817,männlich
Grundschulen,Klassenstufe 3,2020/21,Baden-Württemberg,41975,männlich
Grundschulen,Klassenstufe 4,2020/21,Baden-Württemberg,41500,männlich
Grundschulen,Insgesamt,2020/21,Baden-Württemberg,168468,männlich
Hauptschulen,Klassenstufe 5,2020/21,Baden-Württemberg,3841,männlich
Hauptschulen,Klassenstufe 6,2020/21,Baden-Württemberg,3970,männlich
Hauptschulen,Klassenstufe 7,2020/21,Baden-Württemberg,4497,männlich
Hauptschulen,Klassenstufe 8,2020/21,Baden-Württemberg,4919,männlich
