Nettoausgaben Tausend Euro,Jahr,Nettoausgaben je Einwohner EUR,Bruttoausgaben Tausend Euro,Einnahmen Tausend Euro,Bruttoausgaben je Einwohner EUR
745954,1963,13,951071,205117,17
765574,1964,13,993322,227749,17
839595,1965,14,1076936,237341,18
927953,1966,16,1185040,257087,20
1020359,1967,17,1304015,283656,22
1067323,1968,18,1365726,298403,23
1146833,1969,19,1462001,315168,24
1343086,1970,22,1705212,362126,28
1614954,1971,26,2053895,438941,34
1909457,1972,31,2462884,553426,40
2255969,1973,36,2891792,635823,47
