Nettoausgaben Tausend Euro,Jahr,Ort der Leistungserbringung,Bruttoausgaben Tausend Euro,Einnahmen Tausend Euro
8343167,1994,außerhalb von Einrichtungen,9558231,1215064
12360736,1994,in Einrichtungen,15869574,3508838
20703902,1994,Insgesamt,25427805,4723903
8988675,1995,außerhalb von Einrichtungen,10294511,1305835
12798844,1995,in Einrichtungen,16374883,3576039
21787520,1995,Insgesamt,26669394,4881874
9318522,1996,außerhalb von Einrichtungen,10627018,1308495
11633355,1996,in Einrichtungen,14830597,3197243
20951877,1996,Insgesamt,25457615,4505738
10037222,1997,außerhalb von Einrichtungen,11222733,1185511
9738267,1997,in Einrichtungen,11553514,1815248
