Jahr,Bruttoausgaben Tausend Euro,Sozialhilfearten
2005,1163145,Hilfe zum Lebensunterhalt
2005,2864354,Grundsicherung im Alter und bei Erwerbsminderung
2005,386709,Hilfen zur Gesundheit (o. Erstattung an Krankenk.)
2005,708379,Erstattung an Krankenkassen f.d. Krankenbehandlung
2005,11288144,Eingliederungshilfe für behinderte Menschen
2005,86452,Leistungen zur medizinischen Rehabilitation
2005,239938,Leistungen zur Teilhabe am Arbeitsleben
2005,3298153,Leistungen in anerkannten Werkstätten
2005,5090840,Leistungen zur Teilhabe am Leben i.d. Gemeinschaft
2005,777867,Hilfen zu einer angemessenen Schulbildung
2005,49983,Hilfe zur schul. Ausbildung für einen angem. Beruf
