Jahr,Ort der Leistungserbringung,Sozialhilfeträger,Bruttoausgaben Tausend Euro,Sozialhilfearten
2021,außerhalb von Einrichtungen,Örtliche Träger,738259,Hilfe zum Lebensunterhalt
2021,außerhalb von Einrichtungen,Örtliche Träger,26854,Hilfen zur Gesundheit (o. Erstattung an Krankenk.)
2021,außerhalb von Einrichtungen,Örtliche Träger,598309,Hilfe zur Pflege
2021,außerhalb von Einrichtungen,Örtliche Träger,468325,Ausgaben für häusliche Pflege nach § 64b SGB XII
2021,außerhalb von Einrichtungen,Örtliche Träger,212391,Hilfe z.Üb.bes.soz.Schwierigk.u.in and.Lebenslagen
2021,außerhalb von Einrichtungen,Örtliche Träger,1548959,Insgesamt
2021,in Einrichtungen,Örtliche Träger,164224,Hilfe zum Lebensunterhalt
2021,in Einrichtungen,Örtliche Träger,14141,Hilfen zur Gesundheit (o. Erstattung an Krankenk.)
2021,in Einrichtungen,Örtliche Träger,2226886,Hilfe zur Pflege
2021,in Einrichtungen,Örtliche Träger,7729,Ausgaben für teilstationäre Pflege
2021,in Einrichtungen,Örtliche Träger,11461,Ausgaben für Kurzzeitpflege
