Nettoausgaben Tausend Euro,Jahr,Nettoausgaben je Einwohner Euro,Bruttoausgaben Tausend Euro,Einnahmen Tausend Euro,Bruttoausgaben je Einwohner Euro,Früheres Bundesgebiet / Neue Länder
17121761,1994,269,20662781,3541020,324,Früheres Bundesgebiet
3582141,1994,202,4765023,1182882,269,Neue Länder
17941792,1995,280,21579627,3637834,337,Früheres Bundesgebiet
3845727,1995,218,5089767,1244040,288,Neue Länder
17360371,1996,270,20752252,3391881,323,Früheres Bundesgebiet
3591506,1996,204,4705363,1113857,267,Neue Länder
16307556,1997,253,18664654,2357098,289,Früheres Bundesgebiet
3467933,1997,198,4111594,643661,234,Neue Länder
16697446,1998,259,18881742,2184296,292,Früheres Bundesgebiet
3588500,1998,205,4148375,559875,238,Neue Länder
16643026,1999,257,18724832,2081806,289,Früheres Bundesgebiet
