Nettoausgaben Tausend Euro,Jahr,Ort der Leistungserbringung,Bruttoausgaben Tausend Euro,Einnahmen Tausend Euro,Früheres Bundesgebiet / Neue Länder
7069652,1994,außerhalb von Einrichtungen,8132338,1062686,Früheres Bundesgebiet
1273515,1994,außerhalb von Einrichtungen,1425892,152378,Neue Länder
10052109,1994,in Einrichtungen,12530443,2478334,Früheres Bundesgebiet
2308627,1994,in Einrichtungen,3339131,1030504,Neue Länder
17121761,1994,Insgesamt,20662781,3541020,Früheres Bundesgebiet
3582141,1994,Insgesamt,4765023,1182882,Neue Länder
7581799,1995,außerhalb von Einrichtungen,8696452,1114653,Früheres Bundesgebiet
1406876,1995,außerhalb von Einrichtungen,1598058,191182,Neue Länder
10359993,1995,in Einrichtungen,12883174,2523181,Früheres Bundesgebiet
2438851,1995,in Einrichtungen,3491709,1052858,Neue Länder
17941792,1995,Insgesamt,21579627,3637834,Früheres Bundesgebiet
