Nettoausgaben Tausend Euro,Jahr,Bruttoausgaben Tausend Euro,Sozialhilfearten,Einnahmen Tausend Euro,Früheres Bundesgebiet / Neue Länder
976614,2021,1051682,Hilfe zum Lebensunterhalt,75068,Früheres Bundesgebiet
568133,2021,575585,Hilfen zur Gesundheit,7452,Früheres Bundesgebiet
3896390,2021,4444295,Hilfe zur Pflege,547906,Früheres Bundesgebiet
511827,2021,549803,Hilfe z.Üb.bes.soz.Schwierigk.u.in and.Lebenslagen,37976,Früheres Bundesgebiet
5952964,2021,6621366,Insgesamt,668401,Früheres Bundesgebiet
204374,2021,221175,Hilfe zum Lebensunterhalt,16801,Neue Länder
106647,2021,107442,Hilfen zur Gesundheit,795,Neue Länder
840548,2021,885160,Hilfe zur Pflege,44612,Neue Länder
95174,2021,96317,Hilfe z.Üb.bes.soz.Schwierigk.u.in and.Lebenslagen,1144,Neue Länder
1246742,2021,1310093,Insgesamt,63352,Neue Länder
