Jahr,Bruttoausgaben Tausend Euro,Sozialhilfearten,Früheres Bundesgebiet / Neue Länder
2005,957748,Hilfe zum Lebensunterhalt,Früheres Bundesgebiet
2005,2406378,Grundsicherung im Alter und bei Erwerbsminderung,Früheres Bundesgebiet
2005,348214,Hilfen zur Gesundheit (o. Erstattung an Krankenk.),Früheres Bundesgebiet
2005,561998,Erstattung an Krankenkassen f.d. Krankenbehandlung,Früheres Bundesgebiet
2005,9198040,Eingliederungshilfe für behinderte Menschen,Früheres Bundesgebiet
2005,68250,Leistungen zur medizinischen Rehabilitation,Früheres Bundesgebiet
2005,231290,Leistungen zur Teilhabe am Arbeitsleben,Früheres Bundesgebiet
2005,2816245,Leistungen in anerkannten Werkstätten,Früheres Bundesgebiet
2005,3691642,Leistungen zur Teilhabe am Leben i.d. Gemeinschaft,Früheres Bundesgebiet
2005,725562,Hilfen zu einer angemessenen Schulbildung,Früheres Bundesgebiet
2005,48634,Hilfe zur schul. Ausbildung für einen angem. Beruf,Früheres Bundesgebiet
