Jahr,Ort der Leistungserbringung,Sozialhilfeträger,Bruttoausgaben Tausend Euro,Sozialhilfearten,Früheres Bundesgebiet / Neue Länder
2021,außerhalb von Einrichtungen,Örtliche Träger,635843,Hilfe zum Lebensunterhalt,Früheres Bundesgebiet
2021,außerhalb von Einrichtungen,Örtliche Träger,26041,Hilfen zur Gesundheit (o. Erstattung an Krankenk.),Früheres Bundesgebiet
2021,außerhalb von Einrichtungen,Örtliche Träger,514037,Hilfe zur Pflege,Früheres Bundesgebiet
2021,außerhalb von Einrichtungen,Örtliche Träger,401511,Ausgaben für häusliche Pflege nach § 64b SGB XII,Früheres Bundesgebiet
2021,außerhalb von Einrichtungen,Örtliche Träger,178526,Hilfe z.Üb.bes.soz.Schwierigk.u.in and.Lebenslagen,Früheres Bundesgebiet
2021,außerhalb von Einrichtungen,Örtliche Träger,1328406,Insgesamt,Früheres Bundesgebiet
2021,in Einrichtungen,Örtliche Träger,147163,Hilfe zum Lebensunterhalt,Früheres Bundesgebiet
2021,in Einrichtungen,Örtliche Träger,13725,Hilfen zur Gesundheit (o. Erstattung an Krankenk.),Früheres Bundesgebiet
2021,in Einrichtungen,Örtliche Träger,1993214,Hilfe zur Pflege,Früheres Bundesgebiet
2021,in Einrichtungen,Örtliche Träger,6960,Ausgaben für teilstationäre Pflege,Früheres Bundesgebiet
2021,in Einrichtungen,Örtliche Träger,11193,Ausgaben für Kurzzeitpflege,Früheres Bundesgebiet
