Jahr,Durchschnittliche Bettenauslastung Prozent,Krankenhäuser Anzahl,Patienten Anzahl,Durchschnittliche Verweildauer Tage,Berechnungs-/Belegungstage 1000,Betten Anzahl,Patienten je 100.000 Einwohner Anzahl,Betten je 100.000 Einwohner Anzahl
1991,"84,1",2411,14576613,"14,0",204204,665565,18224,832
1992,"83,9",2381,14974845,"13,2",198769,646995,18581,803
1993,"83,1",2354,15191174,"12,5",190741,628658,18713,774
1994,"82,5",2337,15497702,"11,9",186049,618176,19034,759
1995,"82,1",2325,15931168,"11,4",182627,609123,19509,746
1996,"80,6",2269,16165019,"10,8",175247,593743,19739,725
1997,"81,1",2258,16429031,"10,4",171837,580425,20023,707
1998,"82,3",2263,16847477,"10,1",171802,571629,20538,697
1999,"82,2",2252,17092707,"9,9",169696,565268,20823,689
2000,"81,9",2242,17262929,"9,7",167789,559651,21004,681
2001,"81,1",2240,17325083,"9,4",163536,552680,21041,671
