Jahr,Vorsorge- oder Rehabilitationseinrichtungen Anzahl,Durchschnittliche Bettenauslastung Prozent,Pflegetage 1000,Patienten Anzahl,Durchschnittliche Verweildauer Tage,Betten Anzahl,Patienten je 100.000 Einwohner Anzahl,Betten je 100.000 Einwohner Anzahl
1991,1181,"86,9",45729,1473427,"31,0",144172,1842,180
1992,1209,"89,0",48833,1574891,"31,0",149910,1954,186
1993,1245,"88,8",50469,1632218,"30,9",155631,2011,192
1994,1329,"87,4",55069,1764518,"31,2",172675,2167,212
1995,1373,"88,7",58820,1895887,"31,0",181633,2322,222
1996,1404,"83,2",57839,1916531,"30,2",189888,2340,232
1997,1387,"62,3",42972,1575454,"27,3",188869,1920,230
1998,1395,"66,1",46107,1746345,"26,4",190967,2129,233
1999,1398,"72,1",49874,1915334,"26,0",189597,2333,231
2000,1393,"76,1",52852,2046227,"25,8",189822,2490,231
2001,1388,"77,5",53514,2096904,"25,5",189253,2547,230
