Nichtärztliches Personal Anzahl,Stichtag,Hauptamtliche Aerzte Anzahl,Nichtärztliches Personal im Pflegedienst Anzahl,Personal Anzahl
81437,31.12.1991,6760,14828,89217
84978,31.12.1992,7143,15492,93046
88811,31.12.1993,7581,16573,97486
99643,31.12.1994,8597,19311,109477
105653,31.12.1995,9179,21002,116339
107440,31.12.1996,9331,22275,118364
97145,31.12.1997,8279,21341,106707
98019,31.12.1998,8418,22190,107780
102026,31.12.1999,8738,23611,112109
106188,31.12.2000,9107,24902,116832
108720,31.12.2001,9282,26046,119709
