Jahr,ICD-10 (1-3-Steller) Hauptdiagnose,Entlassene Patienten Anzahl
2012,Bestimmte infektiöse und parasitäre Krankheiten,566633
2012,Infektiöse Darmkrankheiten,266713
2012,Cholera,1
2012,Typhus abdominalis und Paratyphus,160
2012,Sonstige Salmonelleninfektionen,6183
2012,Shigellose (Bakterielle Ruhr),90
2012,Sonstige bakterielle Darminfektionen,42941
2012,Sonstige bakteriell bed. Lebensmittelvergiftungen,1014
2012,Amöbiasis,132
2012,Sonstige Darmkrankheiten durch Protozoen,488
2012,Virusbed. u.sonst. näher bezeichn. Darminfektionen,62105
