Gerichte Anzahl,Stichtag,Bundesländer,Gerichtsart
108,31.12.2012,Baden-Württemberg,Amtsgerichte
17,31.12.2012,Baden-Württemberg,Landgerichte
2,31.12.2012,Baden-Württemberg,Oberlandesgerichte
9,31.12.2012,Baden-Württemberg,Arbeitsgerichte
4,31.12.2012,Baden-Württemberg,Verwaltungsgerichte
8,31.12.2012,Baden-Württemberg,Sozialgerichte
1,31.12.2012,Baden-Württemberg,Finanzgerichte
73,31.12.2012,Bayern,Amtsgerichte
22,31.12.2012,Bayern,Landgerichte
3,31.12.2012,Bayern,Oberlandesgerichte
11,31.12.2012,Bayern,Arbeitsgerichte
