Jahr,Sachgebiete,Von Staats- und Amtsanwaltschaft erledigte Ermittlungsverfahren Anzahl
2018,Staatsschutzsachen,2486
2018,Politische Strafsachen,31316
2018,Vergehen nach § 131 StGB,360
2018,Sonstige Ermittlungsverfahren bei der GStA,0
2018,Straftaten gegen die sexuelle Selbstbestimmung,52911
2018,Verbreitung pornografischer Schriften,19061
2018,Kapitalverbrechen im Sinne von § 74 Absatz 2 GVG,5206
2018,Vorsätzliche Körperverletzungen,457671
2018,Diebstahl und Unterschlagung,611980
2018,Betrug und Untreue,982288
2018,Verkehrsstraft. m.fahrl. Tötung u.§§ 315-315d StGB,38242
