Jahr,Sachgebiete,Bundesländer,V. Staats- u. Amtsanwaltsch. erl.Ermittlungsverf. Anzahl
2021,Staatsschutzsachen,Baden-Württemberg,395
2021,Politische Strafsachen,Baden-Württemberg,4675
2021,Vergehen nach § 131 StGB,Baden-Württemberg,50
2021,Sonstige Ermittlungsverfahren bei der GStA,Baden-Württemberg,0
2021,Straftaten gegen die sexuelle Selbstbestimmung,Baden-Württemberg,6386
2021,Verbreitung pornografischer Schriften,Baden-Württemberg,12919
2021,Kapitalverbrechen im Sinne von § 74 Absatz 2 GVG,Baden-Württemberg,530
2021,Vorsätzliche Körperverletzungen,Baden-Württemberg,44332
2021,Diebstahl und Unterschlagung,Baden-Württemberg,44346
2021,Betrug und Untreue,Baden-Württemberg,107208
2021,Verkehrsstraft. m.fahrl. Tötung u.§§ 315-315d StGB,Baden-Württemberg,4608
