Jahr,Sachgebiete,Vor dem Amtsgericht erledigte Strafverfahren Anzahl
2017,Straftaten gegen die sexuelle Selbstbestimmung,5128
2017,Verbreitung pornografischer Schriften,1811
2017,Kapitalverbrechen im Sinne von § 74 Absatz 2 GVG,47
2017,Vorsätzliche Körperverletzungen,78813
2017,Diebstahl und Unterschlagung,126226
2017,Betrug und Untreue,100177
2017,Verkehrsstraft. m.fahrl. Tötung u.§§ 315-315d StGB,5915
2017,Sonstige Verkehrsstraftaten,102934
2017,Wirtschaftsstrafsachen im Sinne des § 74c GVG,1150
2017,Sonstige Wirtschaftsstrafsachen,7987
2017,Steuerstrafsachen,4629
