Jahr,Sachgebiete,Vor dem Amtsgericht erledigte Strafverfahren Anzahl,Bundesländer
2021,Straftaten gegen die sexuelle Selbstbestimmung,863,Baden-Württemberg
2021,Verbreitung pornografischer Schriften,496,Baden-Württemberg
2021,Kapitalverbrechen im Sinne von § 74 Absatz 2 GVG,11,Baden-Württemberg
2021,Vorsätzliche Körperverletzungen,7460,Baden-Württemberg
2021,Diebstahl und Unterschlagung,7370,Baden-Württemberg
2021,Betrug und Untreue,6558,Baden-Württemberg
2021,Verkehrsstraft. m.fahrl. Tötung u.§§ 315-315d StGB,831,Baden-Württemberg
2021,Sonstige Verkehrsstraftaten,11837,Baden-Württemberg
2021,Wirtschaftsstrafsachen im Sinne des § 74c GVG,79,Baden-Württemberg
2021,Sonstige Wirtschaftsstrafsachen,627,Baden-Württemberg
2021,Steuerstrafsachen,278,Baden-Württemberg
