Jahr,Sachgebiete,Vor dem Amtsgericht erledigte Verfahren Anzahl,Art der Erledigung
2021,Bau-/Architektensachen (o. Architektenhonorars.),1450,Streitiges Urteil (einschl. Vorbehaltsurteil)
2021,Bau-/Architektensachen (o. Architektenhonorars.),1947,Gerichtlicher Vergleich
2021,Bau-/Architektensachen (o. Architektenhonorars.),869,Versäumnisurteil
2021,Bau-/Architektensachen (o. Architektenhonorars.),236,"Anerkenntnis-, Verzichtsurteil"
2021,Bau-/Architektensachen (o. Architektenhonorars.),43,Beschluss über Arrest oder einstweilige Verfügung
2021,Bau-/Architektensachen (o. Architektenhonorars.),266,Beschluss nach § 91a ZPO
2021,Bau-/Architektensachen (o. Architektenhonorars.),0,Beschluss z.vorl. Kontenpfändung n. VO(EU)655/2014
2021,Bau-/Architektensachen (o. Architektenhonorars.),53,Sonstiger Beschluss
2021,Bau-/Architektensachen (o. Architektenhonorars.),561,Rücknahme der Klage oder des Antrags
2021,Bau-/Architektensachen (o. Architektenhonorars.),35,Rücknahme des Ein- oder Widerspruchs
2021,Bau-/Architektensachen (o. Architektenhonorars.),19,Nichtzahlung des Kostenvorschusses
