Jahr,Sachgebiete,Bundesländer,Vor dem Amtsgericht erledigte Verfahren Anzahl,Art der Erledigung
2021,Bau-/Architektensachen (o. Architektenhonorars.),Baden-Württemberg,150,Streitiges Urteil (einschl. Vorbehaltsurteil)
2021,Bau-/Architektensachen (o. Architektenhonorars.),Baden-Württemberg,216,Gerichtlicher Vergleich
2021,Bau-/Architektensachen (o. Architektenhonorars.),Baden-Württemberg,103,Versäumnisurteil
2021,Bau-/Architektensachen (o. Architektenhonorars.),Baden-Württemberg,28,"Anerkenntnis-, Verzichtsurteil"
2021,Bau-/Architektensachen (o. Architektenhonorars.),Baden-Württemberg,3,Beschluss über Arrest oder einstweilige Verfügung
2021,Bau-/Architektensachen (o. Architektenhonorars.),Baden-Württemberg,29,Beschluss nach § 91a ZPO
2021,Bau-/Architektensachen (o. Architektenhonorars.),Baden-Württemberg,0,Beschluss z.vorl. Kontenpfändung n. VO(EU)655/2014
2021,Bau-/Architektensachen (o. Architektenhonorars.),Baden-Württemberg,2,Sonstiger Beschluss
2021,Bau-/Architektensachen (o. Architektenhonorars.),Baden-Württemberg,70,Rücknahme der Klage oder des Antrags
2021,Bau-/Architektensachen (o. Architektenhonorars.),Baden-Württemberg,3,Rücknahme des Ein- oder Widerspruchs
2021,Bau-/Architektensachen (o. Architektenhonorars.),Baden-Württemberg,0,Nichtzahlung des Kostenvorschusses
