Jahr,Vor dem Amtsgericht erledigte Verfahren Anzahl,Art der Erledigung
2014,384793,Beschluss
2014,86085,Vergleich
2014,949,Vergleich nach vollständiger Konfliktbeilegung
2014,83450,Vergleich ohne vollständige Konfliktbeilegung
2014,10706,Versäumnisentscheidung
2014,3763,Anerkenntnis- oder Verzichtsentscheidung
2014,3445,Beschluss nach § 91a ZPO
2014,18854,Übereinstimmende Erledigungs-/Beendigungserklärung
2014,6205,Beschluss in Verfahrenskostenhilfeverfahren
2014,1517,Beschluss nach § 1666 BGB
2014,42116,Rücknahme des Antrags
