Jahr,Bundesländer,Vor dem Amtsgericht erledigte Verfahren Anzahl,Art der Erledigung
2019,Baden-Württemberg,37196,Beschluss
2019,Baden-Württemberg,8688,Vergleich
2019,Baden-Württemberg,18,Vergleich nach vollständiger Konfliktbeilegung
2019,Baden-Württemberg,8670,Vergleich ohne vollständige Konfliktbeilegung
2019,Baden-Württemberg,841,Versäumnisentscheidung
2019,Baden-Württemberg,344,Anerkenntnis- oder Verzichtsentscheidung
2019,Baden-Württemberg,342,Beschluss nach § 91a ZPO
2019,Baden-Württemberg,1522,Übereinstimmende Erledigungs-/Beendigungserklärung
2019,Baden-Württemberg,438,Beschluss in Verfahrenskostenhilfeverfahren
2019,Baden-Württemberg,188,Beschluss nach § 1666 BGB
2019,Baden-Württemberg,3862,Rücknahme des Antrags
