Jahr,Vor dem Verwaltungsgericht erled. Hauptverfahren Anzahl,Art der Erledigung
2018,1711,"Urteil, Berufung zulässig"
2018,2613,"Urteil, Berufung ausgeschlossen n. §78 Abs.1 AsylG"
2018,35435,"Urteil, Berufung ausgeschlossen n. §78 Abs.2 AsylG"
2018,46654,Urteil n. §124 Abs.1 VwGO (Berufung nicht zugel.)
2018,10163,Gerichtsbescheid
2018,110195,Beschluss (ohne Ruhen des Verfahrens)
2018,3940,Gerichtlicher Vergleich
2018,7800,Ruhen des Verfahrens
2018,2291,Sonstige Erledigungsart
2018,220802,Insgesamt
2019,1389,"Urteil, Berufung zulässig"
