Wohnfläche der Wohnungen 1000 Quadratmeter,Jahr,Gebäude Anzahl,Hochbau,Gebäudeart/Bauherr,Wohnungen Anzahl,Baumassnahmen Anzahl,Nutzfläche 1000 qm,Wohnräume Anzahl,Monate,Wohnfläche der sonstigen Wohneinheiten 1000 qm,Sonstige Wohneinheiten Anzahl,Gebäude/Baumassnahmen Anzahl,Bautätigkeiten,Veranschlagte Kosten des Bauwerks Tsd. EUR,Rauminhalt 1000 cbm
x,2022,x,Hochbau,Wohngebäude mit 1 Wohnung,x,x,x,x,Januar,x,x,x,Errichtg.neuer Gebäude u.Baumaßnahmen an best.Geb.,x,x
x,2022,x,Hochbau,Wohngebäude mit 1 Wohnung,x,x,x,x,Februar,x,x,x,Errichtg.neuer Gebäude u.Baumaßnahmen an best.Geb.,x,x
x,2022,x,Hochbau,Wohngebäude mit 1 Wohnung,x,x,x,x,März,x,x,x,Errichtg.neuer Gebäude u.Baumaßnahmen an best.Geb.,x,x
x,2022,x,Hochbau,Wohngebäude mit 1 Wohnung,x,x,x,x,April,x,x,x,Errichtg.neuer Gebäude u.Baumaßnahmen an best.Geb.,x,x
x,2022,x,Hochbau,Wohngebäude mit 1 Wohnung,x,x,x,x,Mai,x,x,x,Errichtg.neuer Gebäude u.Baumaßnahmen an best.Geb.,x,x
x,2022,x,Hochbau,Wohngebäude mit 1 Wohnung,x,x,x,x,Juni,x,x,x,Errichtg.neuer Gebäude u.Baumaßnahmen an best.Geb.,x,x
x,2022,x,Hochbau,Wohngebäude mit 1 Wohnung,x,x,x,x,Juli,x,x,x,Errichtg.neuer Gebäude u.Baumaßnahmen an best.Geb.,x,x
x,2022,x,Hochbau,Wohngebäude mit 1 Wohnung,x,x,x,x,August,x,x,x,Errichtg.neuer Gebäude u.Baumaßnahmen an best.Geb.,x,x
x,2022,x,Hochbau,Wohngebäude mit 1 Wohnung,x,x,x,x,September,x,x,x,Errichtg.neuer Gebäude u.Baumaßnahmen an best.Geb.,x,x
x,2022,x,Hochbau,Wohngebäude mit 2 Wohnungen,x,x,x,x,Januar,x,x,x,Errichtg.neuer Gebäude u.Baumaßnahmen an best.Geb.,x,x
x,2022,x,Hochbau,Wohngebäude mit 2 Wohnungen,x,x,x,x,Februar,x,x,x,Errichtg.neuer Gebäude u.Baumaßnahmen an best.Geb.,x,x
