Nutzfläche 1000 Quadratmeter,Wohnräume Anzahl,Wohnfläche der Wohnungen 1000 Quadratmeter,Jahr,Wohnfläche der sonstigen Wohneinheiten 1000 qm,Gebäude Anzahl,Sonstige Wohneinheiten Anzahl,Gebäudeart/Bauherr,Wohnungen Anzahl,Fertigteilbau (Neubau),Veranschlagte Kosten des Bauwerks Tsd. EUR,Rauminhalt 1000 cbm
16815,139109,3035,2001,4,33361,176,Wohn- und Nichtwohngebäude,26295,Fertigteilbau (Neubau),12725663,125029
812,136337,2973,2001,4,20732,160,Wohngebäude,25650,Fertigteilbau (Neubau),3687790,16039
671,108459,2376,2001,0,18468,11,Wohngebäude mit 1 Wohnung,18468,Fertigteilbau (Neubau),2979672,12894
92,16605,356,2001,0,1914,1,Wohngebäude mit 2 Wohnungen,3828,Fertigteilbau (Neubau),431983,1864
763,125064,2732,2001,0,20382,12,Wohngebäude mit 1 oder 2 Wohnungen,22296,Fertigteilbau (Neubau),3411654,14758
4,593,6,2001,4,14,148,Wohnheime,274,Fertigteilbau (Neubau),12224,60
2,366,8,2001,0,45,10,Öffentliche Bauherren von Wohngebäuden,69,Fertigteilbau (Neubau),9539,40
123,22409,490,2001,3,2785,88,Unternehmen als Bauherren von Wohngebäuden,5152,Fertigteilbau (Neubau),532019,2556
100,17683,388,2001,2,2113,63,Wohnungsunternehmen als Bauherren von Wohngebäuden,4116,Fertigteilbau (Neubau),419267,2032
21,4286,94,2001,1,628,25,Sonst. Unternehmen als Bauherren von Wohngebäuden,936,Fertigteilbau (Neubau),103578,483
686,113249,2469,2001,0,17871,12,Private Haushalte als Bauherren von Wohngebäuden,20354,Fertigteilbau (Neubau),3138678,13410
