Energieverwendung,Jahr,Gebäudeart,Energieart,Neue Gebäude Anzahl
Zur Heizung verwendete primäre Energie,2021,Wohngebäude,Öl,390
Zur Heizung verwendete primäre Energie,2021,Wohngebäude,Gas,31131
Zur Heizung verwendete primäre Energie,2021,Wohngebäude,Strom,2441
Zur Heizung verwendete primäre Energie,2021,Wohngebäude,Fernwärme/Fernkälte,9780
Zur Heizung verwendete primäre Energie,2021,Wohngebäude,Geothermie,11288
Zur Heizung verwendete primäre Energie,2021,Wohngebäude,Umweltthermie,67756
Zur Heizung verwendete primäre Energie,2021,Wohngebäude,Solarthermie,681
Zur Heizung verwendete primäre Energie,2021,Wohngebäude,Holz,4701
Zur Heizung verwendete primäre Energie,2021,Wohngebäude,Biogas/Biomethan,285
Zur Heizung verwendete primäre Energie,2021,Wohngebäude,Sonstige Biomasse,292
Zur Heizung verwendete primäre Energie,2021,Wohngebäude,Sonstige Energie,444
