Wohnfläche der Wohnungen 1000 Quadratmeter,Jahr,Gebäude Anzahl,Hochbau,Gebäudeart/Bauherr,Wohnungen Anzahl,Baumassnahmen Anzahl,Nutzfläche 1000 Quadratmeter,Wohnräume Anzahl,Wohnfläche der sonstigen Wohneinheiten 1000 qm,Sonstige Wohneinheiten Anzahl,Gebäude/Baumassnahmen Anzahl,Bautätigkeiten,Veranschlagte Kosten des Bauwerks Tsd. EUR,Rauminhalt 1000 cbm
x,2001,x,Hochbau,Wohngebäude mit 1 Wohnung,x,x,x,x,x,x,x,Errichtg.neuer Gebäude u.Baumaßnahmen an best.Geb.,x,x
x,2001,x,Hochbau,Wohngebäude mit 2 Wohnungen,x,x,x,x,x,x,x,Errichtg.neuer Gebäude u.Baumaßnahmen an best.Geb.,x,x
x,2001,x,Hochbau,Wohngebäude mit 1 oder 2 Wohnungen,x,x,x,x,x,x,x,Errichtg.neuer Gebäude u.Baumaßnahmen an best.Geb.,x,x
x,2001,x,Hochbau,Wohngebäude mit 3 oder mehr Wohnungen,x,x,x,x,x,x,x,Errichtg.neuer Gebäude u.Baumaßnahmen an best.Geb.,x,x
x,2002,x,Hochbau,Wohngebäude mit 1 Wohnung,x,x,x,x,x,x,x,Errichtg.neuer Gebäude u.Baumaßnahmen an best.Geb.,x,x
x,2002,x,Hochbau,Wohngebäude mit 2 Wohnungen,x,x,x,x,x,x,x,Errichtg.neuer Gebäude u.Baumaßnahmen an best.Geb.,x,x
x,2002,x,Hochbau,Wohngebäude mit 1 oder 2 Wohnungen,x,x,x,x,x,x,x,Errichtg.neuer Gebäude u.Baumaßnahmen an best.Geb.,x,x
x,2002,x,Hochbau,Wohngebäude mit 3 oder mehr Wohnungen,x,x,x,x,x,x,x,Errichtg.neuer Gebäude u.Baumaßnahmen an best.Geb.,x,x
x,2003,x,Hochbau,Wohngebäude mit 1 Wohnung,x,x,x,x,x,x,x,Errichtg.neuer Gebäude u.Baumaßnahmen an best.Geb.,x,x
x,2003,x,Hochbau,Wohngebäude mit 2 Wohnungen,x,x,x,x,x,x,x,Errichtg.neuer Gebäude u.Baumaßnahmen an best.Geb.,x,x
x,2003,x,Hochbau,Wohngebäude mit 1 oder 2 Wohnungen,x,x,x,x,x,x,x,Errichtg.neuer Gebäude u.Baumaßnahmen an best.Geb.,x,x
