Jahr,Abfallentsorgungsanlagen Anzahl,Im eigenen Betrieb erzeugte Abfälle 1000 t,Input von Abfallentsorgungsanlagen 1000 t,Aus dem Ausland angelieferter Abfall 1000 t,Abfallarten,Aus dem Inland angelieferter Abfall 1000 t
2020,275,"68,8","706,7","3,0",Landwirtsch.u.a.: Abfälle aus pflanzlichem Gewebe,"635,0"
2020,64,"0,4","31,6","2,2",Landwirtsch.u.a.:Kunststoffabfälle (ohne Verpack.),"29,0"
2020,209,"172,8","669,0","8,2","Tierische Ausscheidungen, Gülle/Jauche/Stallmist","487,9"
2020,60,"6,7","236,9","0,0",Abfälle aus der Forstwirtschaft,"230,2"
2020,21,"0,0","1,9","0,5",Abfälle von Chemikalien für die Landwirtschaft,"1,4"
2020,21,"1,9","104,8","5,4",Fleisch u.a.: Abfälle aus tierischem Gewebe,"97,5"
2020,139,"5,5","460,6","30,4",Fleisch u.a.: Für Verzehr/Verarb. ungeeig.Stoffe,"424,7"
2020,194,"39,2","867,7","5,4",Fleisch u.a.: Schlämme(betriebseig.Abwasserbeh.),"823,1"
2020,25,"0,0","91,9","10,4","Verarb. von Fleisch, Fisch u.a.: Abfälle a.n.g.","81,5"
2020,226,"93,2","415,3","5,8",Obst u.a.: Für Verzehr/Verarb. ungeeignete Stoffe,"316,3"
2020,27,"38,1","87,3","7,8","Verarbeitung von Obst, Gemüse u.a.: Abfälle a.n.g.","41,4"
