Jahr,Output von Abfallentsorgungsanlagen 1000 t,Abfälle zur Verwertung 1000 Tonnen,Abfälle zur Beseitigung 1000 t,Abfallentsorgungsanlagen mit Output Anzahl,Abfälle zu vorbereitenden Verfahren 1000 t,Aus dem Inland angelieferter Abfall 1000 t,Abfallentsorgungsanlagen Anzahl,Im eigenen Betrieb erzeugte Abfälle 1000 t,Abgabe an Sonstige 1000 t,Anlagenart,Input von Abfallentsorgungsanlagen 1000 t,Aus dem Ausland angelieferter Abfall 1000 t
2020,"1432,0","256,8","1083,9",x,"36,6","34185,2",1005,"6869,4","54,6",Deponien,"41434,4","379,8"
2020,"3,1","1,1","0,1",x,"0,0","15817,6",707,"1767,1","1,9",Deponien der Klasse 0,"17585,3","0,6"
2020,"477,9","218,8","195,4",x,"12,2","9708,0",123,"4462,9","51,6",Deponien der Klasse I,"14383,4","212,6"
2020,"816,3","36,8","753,9",x,"24,5","6335,7",148,"447,4","1,1",Deponien der Klasse II,"6866,1","83,0"
2020,"7099,5","5570,7","532,6",x,"963,3","22646,1",154,"1540,9","32,9",Thermische Abfallbehandlungsanlagen,"25275,2","1088,2"
2020,"6523,3","5381,3","179,3",x,"952,7","20772,2",84,"122,9","9,9",Abfallverbrennungsanlagen,"21734,5","839,4"
2020,"282,5","132,7","130,4",x,"5,7","1039,1",22,"1079,7","13,6",Klärschlammverbrennungsanlagen,"2154,8","36,0"
2020,"2965,9","1906,3","810,6",x,"97,0","17430,8",483,"3325,2","152,1",Feuerungsanlagen,"21847,4","1091,4"
2020,"739,8","471,0","173,8",x,"18,9","5395,8",102,"1438,7","76,1",Biomassekraftwerke,"7557,8","723,4"
2020,"636,1","184,6","369,6",x,"6,5","2457,2",38,"581,7","75,4",Andere Kraftwerke,"3100,7","61,9"
2020,"150,5","132,6","13,8",x,"3,6","591,1",253,"716,3","0,5",Heizwerke,"1321,8","14,5"
