Jahr,Abfallentsorgungsanlagen Anzahl,Im eigenen Betrieb erzeugte Abfälle 1000 t,Bundesländer,Input von Abfallentsorgungsanlagen 1000 t,Aus dem Ausland angelieferter Abfall 1000 t,Aus dem Inland angelieferter Abfall 1000 t
2020,1694,"1302,9",Baden-Württemberg,"56041,7","1184,5","53554,3"
2020,3512,"3543,8",Bayern,"67750,6","336,8","63870,0"
2020,122,"209,5",Berlin,"7780,0","54,0","7516,5"
2020,521,"784,8",Brandenburg,"17869,6","271,9","16812,9"
2020,64,"108,9",Bremen,"2823,8","105,0","2610,0"
2020,91,"1893,8",Hamburg,"5828,4","99,1","3835,5"
2020,778,"17021,1",Hessen,"37952,9","184,6","20747,2"
2020,292,"464,9",Mecklenburg-Vorpommern,"8487,9","88,7","7934,3"
2020,1327,"2233,6",Niedersachsen,"33421,0","1299,2","29888,2"
2020,2097,"8186,1",Nordrhein-Westfalen,"85584,3","2425,9","74972,3"
2020,716,"1438,3",Rheinland-Pfalz,"17908,1","266,1","16203,7"
