Jahr,Output von Abfallentsorgungsanlagen 1000 t,Abfälle zur Verwertung 1000 Tonnen,Abfälle zur Beseitigung 1000 t,Abfallentsorgungsanlagen mit Output Anzahl,Abfälle zu vorbereitenden Verfahren 1000 t,Aus dem Inland angelieferter Abfall 1000 t,Abfallentsorgungsanlagen Anzahl,Im eigenen Betrieb erzeugte Abfälle 1000 t,Abgabe an Sonstige 1000 Tonnen,Bundesländer,Anlagenart,Input von Abfallentsorgungsanlagen 1000 t,Aus dem Ausland angelieferter Abfall 1000 t
2020,"456,3","99,5","17,2",x,"339,0","1814,2",10,"43,0","0,6",Baden-Württemberg,Thermische Abfallbehandlungsanlagen,"1870,1","12,8"
2020,"149,3","122,7","12,6",x,"1,3","294,1",36,"16,3","12,6",Baden-Württemberg,Chemisch-physikalische Behandlungsanlagen,"316,3","5,9"
2020,"804,1","128,0","0,3",x,"4,0","1086,5",100,"2,9","671,9",Baden-Württemberg,Biologische Behandlungsanlagen,"1098,6","9,1"
2020,"2012,9","687,3","0,3",x,"130,1","1824,5",110,"44,6","1195,3",Baden-Württemberg,Schredderanlagen und Schrottscheren,"1973,2","104,1"
2020,"2586,8","1389,5","13,7",x,"33,9","2254,2",68,"33,0","1149,6",Baden-Württemberg,Sortieranlagen,"2566,3","279,1"
2020,"1017,3","797,5","84,9",x,"122,6","3517,0",34,"169,6","12,3",Bayern,Thermische Abfallbehandlungsanlagen,"3744,5","57,8"
2020,"218,5","103,8","21,3",x,"6,3","1871,0",96,"823,3","87,1",Bayern,Feuerungsanlagen,"2788,8","94,5"
2020,"123,0","35,3","33,6",x,"3,5","261,2",90,"668,4","50,6",Bayern,Chemisch-physikalische Behandlungsanlagen,"940,0","10,4"
2020,"1555,2","179,5","45,1",x,"5,9","2365,8",317,"196,5","1324,7",Bayern,Biologische Behandlungsanlagen,"2580,0","17,6"
2020,"3633,9","2235,7","117,6",x,"89,7","3285,9",181,"234,6","1190,8",Bayern,Schredderanlagen und Schrottscheren,"3580,8","60,3"
2020,"3346,9","2416,4","18,0",x,"79,4","3136,2",133,"117,0","833,2",Bayern,Sortieranlagen,"3303,0","49,8"
