Jahr,Aufkommen an Haushaltsabfällen 1000 Tonnen,Beim Erstempfänger verwertete Haushaltsabfälle 1000 t,Beim Erstempfänger beseitigte Haushaltsabfälle 1000 t,Abfallarten,Aufkommen an Haushaltsabfällen je Einwohner kg
2020,"16135,8","15401,5","734,3",Haus- und Sperrmüll,194
2020,"13290,5","12654,8","635,7","Hausmüll, hausmüllähnliche Gewerbeabfälle",160
2020,"2845,2","2746,7","98,5",Sperrmüll,34
2020,"10634,2","10633,7","0,5",Getrennt erfasste organische Abfälle,128
2020,"5300,6","5300,6","0,0",Abfälle aus der Biotonne,64
2020,"5333,6","5333,1","0,5","Biologisch abbaubare Abfälle (Garten-,Parkabfälle)",64
2020,"12633,6","12632,2","1,3",Getrennt erfasste Wertstoffe,152
2020,"2063,4","2062,7","0,7",Glas,25
2020,"2932,3","2931,8","0,5","Gemisch.Wertst./Verpack.(inkl.Leichtvp.),Verbunde",35
2020,"1391,6","1391,6","0,0",Holz,17
2020,"106,5","106,4","0,1",Kunststoffe,1
