Jahr,Aufkommen an Haushaltsabfällen 1000 Tonnen,Beim Erstempfänger verwertete Haushaltsabfälle 1000 t,Bundesländer,Beim Erstempfänger beseitigte Haushaltsabfälle 1000 t,Aufkommen an Haushaltsabfällen je Einwohner Kilogramm
2020,"5087,0","5078,0",Baden-Württemberg,"9,0",458
2020,"6513,6","6510,2",Bayern,"3,4",496
2020,"1408,3","1408,0",Berlin,"0,3",384
2020,"1152,8","1107,8",Brandenburg,"45,0",455
2020,"299,0","298,8",Bremen,"0,2",440
2020,"815,0","814,4",Hamburg,"0,5",440
2020,"2836,7","2834,4",Hessen,"2,4",451
2020,"755,6","615,8",Mecklenburg-Vorpommern,"139,8",469
2020,"4259,2","4246,6",Niedersachsen,"12,6",532
2020,"8610,6","8597,6",Nordrhein-Westfalen,"13,0",480
2020,"2230,4","2140,4",Rheinland-Pfalz,"90,0",544
