Jahr,Aufkommen an Haushaltsabfällen 1000 t,Bundesländer,Abfallarten,Aufkommen an Haushaltsabfällen je Einwohner kg
2020,"1616,8",Baden-Württemberg,Haus- und Sperrmüll,146
2020,"1595,7",Baden-Württemberg,Getrennt erfasste organische Abfälle,144
2020,"1864,9",Baden-Württemberg,Getrennt erfasste Wertstoffe,168
2020,"9,6",Baden-Württemberg,Sonstige Abfälle,1
2020,"2266,4",Bayern,Haus- und Sperrmüll,172
2020,"2026,7",Bayern,Getrennt erfasste organische Abfälle,154
2020,"2151,9",Bayern,Getrennt erfasste Wertstoffe,164
2020,"68,5",Bayern,Sonstige Abfälle,5
2020,"885,4",Berlin,Haus- und Sperrmüll,242
2020,"132,8",Berlin,Getrennt erfasste organische Abfälle,36
2020,"388,8",Berlin,Getrennt erfasste Wertstoffe,106
