Bodenfläche qkm,Stichtag,Nutzungsarten
"32770,07",31.12.2016,Siedlung
"13668,66",31.12.2016,Wohnbaufläche
"6061,04",31.12.2016,Industrie- und Gewerbefläche
"3731,60",31.12.2016,Industrie und Gewerbe
"174,01",31.12.2016,Halde
"28,61",31.12.2016,Bergbaubetrieb
"1516,29",31.12.2016,"Tagebau, Grube, Steinbruch"
"4312,57",31.12.2016,Fläche gemischter Nutzung
"1749,62",31.12.2016,Fläche besonderer funktionaler Prägung
"4869,71",31.12.2016,"Sport-, Freizeit- und Erholungsfläche"
"2675,61",31.12.2016,Grünanlage
